11/05/2025 9:05:29 p. m. - kacastro - 0,82s
11/05/2025 9:28:19 p. m. - mfruiz - 0,78s
11/05/2025 9:28:26 p. m. - mfruiz - 0,19s
12/05/2025 7:01:09 p. m. - kacastro - 0,84s
12/05/2025 7:02:00 p. m. - kacastro - 0,84s
12/05/2025 7:02:52 p. m. - kacastro - 1,17s
12/05/2025 7:44:13 p. m. - kacastro - 0,73s
12/05/2025 7:45:31 p. m. - kacastro - 0,73s
12/05/2025 8:36:58 p. m. - kacastro - 0,86s
12/05/2025 9:02:19 p. m. - kacastro - 0,83s
12/05/2025 9:28:16 p. m. - kacastro - 0,80s
12/05/2025 9:52:10 p. m. - kacastro - 0,77s
12/05/2025 9:55:15 p. m. - kacastro - 0,68s
12/05/2025 10:01:39 p. m. - kacastro - 0,83s
12/05/2025 10:04:04 p. m. - kacastro - 0,88s
12/05/2025 10:22:56 p. m. - kacastro - 0,74s
12/05/2025 10:46:47 p. m. - cmcastro - 0,76s
12/05/2025 10:47:28 p. m. - cmcastro - 0,76s
12/05/2025 10:48:58 p. m. - cmcastro - 0,89s
12/05/2025 10:52:13 p. m. - cmcastro - 0,78s
12/05/2025 10:53:55 p. m. - cmcastro - 0,89s
12/05/2025 10:58:22 p. m. - cmcastro - 0,81s
12/05/2025 10:59:16 p. m. - kacastro - 0,86s
12/05/2025 11:11:06 p. m. - cmcastro - 0,76s
12/05/2025 11:16:45 p. m. - cmcastro - 0,74s
12/05/2025 11:17:20 p. m. - cmcastro - 0,84s
12/05/2025 11:19:31 p. m. - cmcastro - 0,74s
12/05/2025 11:26:08 p. m. - cmcastro - 0,77s
12/05/2025 11:26:59 p. m. - cmcastro - 0,87s
12/05/2025 11:46:40 p. m. - cmcastro - 229,12s
12/05/2025 11:47:33 p. m. - cmcastro - 0,86s
12/05/2025 11:49:24 p. m. - cmcastro - 0,77s
12/05/2025 11:49:55 p. m. - cmmario - 0,80s
12/05/2025 11:50:16 p. m. - cmcastro - 0,10s
12/05/2025 11:59:34 p. m. - cmcastro - 1,06s
13/05/2025 12:00:05 a. m. - cmcastro - 0,77s
13/05/2025 12:00:40 a. m. - cmcastro - 0,72s
13/05/2025 12:01:17 a. m. - cmcastro - 0,84s
13/05/2025 12:01:45 a. m. - kacastro - 0,93s
13/05/2025 12:16:57 a. m. - cmcastro - 0,75s
13/05/2025 12:18:38 a. m. - cmcastro - 0,75s
13/05/2025 11:16:12 a. m. - cmcastro - 0,86s
13/05/2025 11:39:36 a. m. - cmcastro - 0,87s
13/05/2025 11:51:59 a. m. - cmcastro - 0,71s
13/05/2025 11:53:15 a. m. - kacastro - 0,83s
13/05/2025 11:59:52 a. m. - cmcastro - 0,75s
13/05/2025 12:00:17 p. m. - cmcastro - 0,80s
13/05/2025 12:00:50 p. m. - kacastro - 0,84s
13/05/2025 1:35:57 p. m. - cmcastro - 0,75s
13/05/2025 1:40:12 p. m. - cmcastro - 0,71s
13/05/2025 1:40:42 p. m. - kacastro - 0,73s
13/05/2025 2:31:49 p. m. - cmcastro - 0,72s
13/05/2025 2:33:33 p. m. - cmcastro - 0,69s
13/05/2025 6:25:05 p. m. - kacastro - 0,69s
14/05/2025 12:40:42 a. m. - mfruiz - 0,73s
